GEO_ID,NAME,S2412_C04_001E
36001,"Albany County, New York",88.4
36003,"Allegany County, New York",74.3
36005,"Bronx County, New York",97.8
36007,"Broome County, New York",83.9
36009,"Cattaraugus County, New York",83.7
36011,"Cayuga County, New York",77.3
36013,"Chautauqua County, New York",79
36015,"Chemung County, New York",83
36017,"Chenango County, New York",82.5
36019,"Clinton County, New York",93.5
36021,"Columbia County, New York",85.3
36023,"Cortland County, New York",81.4
36025,"Delaware County, New York",76.9
36027,"Dutchess County, New York",82
36029,"Erie County, New York",82.6
36031,"Essex County, New York",77.8
36033,"Franklin County, New York",89.2
36035,"Fulton County, New York",81.3
36037,"Genesee County, New York",75.9
36039,"Greene County, New York",87
36041,"Hamilton County, New York",114.7
36043,"Herkimer County, New York",78.9
36045,"Jefferson County, New York",79.2
36047,"Kings County, New York",94.5
36049,"Lewis County, New York",87.9
36051,"Livingston County, New York",86.6
36053,"Madison County, New York",77.7
36055,"Monroe County, New York",82.2
36057,"Montgomery County, New York",81.5
36059,"Nassau County, New York",77.8
36061,"New York County, New York",82.1
36063,"Niagara County, New York",78.7
36065,"Oneida County, New York",81.2
36067,"Onondaga County, New York",83
36069,"Ontario County, New York",81.1
36071,"Orange County, New York",82.9
36073,"Orleans County, New York",80.5
36075,"Oswego County, New York",74.9
36077,"Otsego County, New York",86.4
36079,"Putnam County, New York",80.7
36081,"Queens County, New York",96.3
36083,"Rensselaer County, New York",91
36085,"Richmond County, New York",81.2
36087,"Rockland County, New York",82.9
36089,"St. Lawrence County, New York",79.9
36091,"Saratoga County, New York",75.6
36093,"Schenectady County, New York",82
36095,"Schoharie County, New York",77.4
36097,"Schuyler County, New York",73.7
36099,"Seneca County, New York",80.1
36101,"Steuben County, New York",82.6
36103,"Suffolk County, New York",77.4
36105,"Sullivan County, New York",80.4
36107,"Tioga County, New York",81.2
36109,"Tompkins County, New York",88.5
36111,"Ulster County, New York",85.6
36113,"Warren County, New York",80.5
36115,"Washington County, New York",83
36117,"Wayne County, New York",75.6
36119,"Westchester County, New York",81
36121,"Wyoming County, New York",76.8
36123,"Yates County, New York",81.5
