GEO_ID,NAME,S2412_C01_001E,S2412_C01_001M
36001,"Albany County, New York",54916,751
36003,"Allegany County, New York",42461,1042
36005,"Bronx County, New York",40518,374
36007,"Broome County, New York",46068,949
36009,"Cattaraugus County, New York",41710,715
36011,"Cayuga County, New York",47517,1150
36013,"Chautauqua County, New York",42868,872
36015,"Chemung County, New York",45693,1605
36017,"Chenango County, New York",42671,1342
36019,"Clinton County, New York",44833,1848
36021,"Columbia County, New York",49929,1778
36023,"Cortland County, New York",44096,1300
36025,"Delaware County, New York",43435,1488
36027,"Dutchess County, New York",58229,1318
36029,"Erie County, New York",50795,423
36031,"Essex County, New York",42208,1320
36033,"Franklin County, New York",45012,1996
36035,"Fulton County, New York",41450,915
36037,"Genesee County, New York",44983,1431
36039,"Greene County, New York",44846,1961
36041,"Hamilton County, New York",40754,3475
36043,"Herkimer County, New York",43661,1551
36045,"Jefferson County, New York",42203,1051
36047,"Kings County, New York",53379,312
36049,"Lewis County, New York",43054,1571
36051,"Livingston County, New York",48191,2145
36053,"Madison County, New York",46839,1670
36055,"Monroe County, New York",51306,477
36057,"Montgomery County, New York",44275,1612
36059,"Nassau County, New York",71367,702
36061,"New York County, New York",83090,1238
36063,"Niagara County, New York",48274,988
36065,"Oneida County, New York",46034,910
36067,"Onondaga County, New York",52490,628
36069,"Ontario County, New York",51359,985
36071,"Orange County, New York",58029,1357
36073,"Orleans County, New York",45229,1798
36075,"Oswego County, New York",46213,1261
36077,"Otsego County, New York",43055,1268
36079,"Putnam County, New York",67191,3358
36081,"Queens County, New York",49840,404
36083,"Rensselaer County, New York",54012,668
36085,"Richmond County, New York",62821,883
36087,"Rockland County, New York",64308,840
36089,"St. Lawrence County, New York",46773,1432
36091,"Saratoga County, New York",60864,1433
36093,"Schenectady County, New York",50089,1122
36095,"Schoharie County, New York",47203,2373
36097,"Schuyler County, New York",45776,3241
36099,"Seneca County, New York",46015,1314
36101,"Steuben County, New York",45580,1166
36103,"Suffolk County, New York",63032,410
36105,"Sullivan County, New York",46961,1449
36107,"Tioga County, New York",48830,1614
36109,"Tompkins County, New York",52518,1455
36111,"Ulster County, New York",51543,1169
36113,"Warren County, New York",47928,1594
36115,"Washington County, New York",43434,1252
36117,"Wayne County, New York",44082,970
36119,"Westchester County, New York",71530,772
36121,"Wyoming County, New York",44493,1237
36123,"Yates County, New York",41050,1842
